RedFighter,BlueFighter,Location,TotalFightTimeSecs,FinishRoundTime,WeightClass,Date,Winner,FinishDetails,Finish
Jack Hermansson,Sean Strickland,"Las Vegas, Nevada, USA",1500.0,5:00,Middleweight,2022-02-05,Blue,,S-DEC
Punahele Soriano,Nick Maximov,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2022-02-05,Blue,,S-DEC
Shavkat Rakhmonov,Carlston Harris,"Las Vegas, Nevada, USA",250.0,4:10,Welterweight,2022-02-05,Red,Kick,KO/TKO
Sam Alvey,Brendan Allen,"Las Vegas, Nevada, USA",430.0,2:10,Light Heavyweight,2022-02-05,Blue,Rear Naked Choke,SUB
Tresean Gore,Bryan Battle,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2022-02-05,Blue,,U-DEC
Julian Erosa,Steven Peterson,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2022-02-05,Red,,S-DEC
Miles Johns,John Castaneda,"Las Vegas, Nevada, USA",698.0,1:38,Bantamweight,2022-02-05,Blue,Arm Triangle,SUB
Hakeem Dawodu,Michael Trizano,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2022-02-05,Red,,U-DEC
Chidi Njokuani,Marc-Andre Barriault,"Las Vegas, Nevada, USA",16.0,0:16,Middleweight,2022-02-05,Red,Punches,KO/TKO
Alexis Davis,Julija Stoliarenko,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2022-02-05,Red,,U-DEC
Jailton Almeida,Danilo Marques,"Las Vegas, Nevada, USA",177.0,2:57,Light Heavyweight,2022-02-05,Red,Punches,KO/TKO
Jason Witt,Phil Rowe,"Las Vegas, Nevada, USA",435.0,2:15,Welterweight,2022-02-05,Blue,Punches,KO/TKO
Malcolm Gordon,Denys Bondar,"Las Vegas, Nevada, USA",82.0,1:22,Flyweight,2022-02-05,Red,,KO/TKO
Francis Ngannou,Ciryl Gane,"Anaheim, California, USA",1500.0,5:00,Heavyweight,2022-01-22,Red,,U-DEC
Brandon Moreno,Deiveson Figueiredo,"Anaheim, California, USA",1500.0,5:00,Flyweight,2022-01-22,Blue,,U-DEC
Michel Pereira,Andre Fialho,"Anaheim, California, USA",900.0,5:00,Welterweight,2022-01-22,Red,,U-DEC
Cody Stamann,Said Nurmagomedov,"Anaheim, California, USA",47.0,0:47,Bantamweight,2022-01-22,Blue,Guillotine Choke,SUB
Michael Morales,Trevin Giles,"Anaheim, California, USA",246.0,4:06,Welterweight,2022-01-22,Red,Punches,KO/TKO
Raoni Barcelos,Victor Henry,"Anaheim, California, USA",900.0,5:00,Bantamweight,2022-01-22,Blue,,U-DEC
Jack Della Maddalena,Pete Rodriguez,"Anaheim, California, USA",179.0,2:59,Welterweight,2022-01-22,Red,Punch,KO/TKO
Tony Gravely,Saimon Oliveira,"Anaheim, California, USA",900.0,5:00,Bantamweight,2022-01-22,Red,,U-DEC
Matt Frevola,Genaro Valdez,"Anaheim, California, USA",195.0,3:15,Lightweight,2022-01-22,Red,Punches,KO/TKO
Silvana Gomez Juarez,Vanessa Demopoulos,"Anaheim, California, USA",145.0,2:25,Women's Strawweight,2022-01-22,Blue,Armbar,SUB
Kay Hansen,Jasmine Jasudavicius,"Anaheim, California, USA",900.0,5:00,Women's Flyweight,2022-01-22,Blue,,U-DEC
Calvin Kattar,Giga Chikadze,"Las Vegas, Nevada, USA",1500.0,5:00,Featherweight,2022-01-15,Red,,U-DEC
Jake Collier,Chase Sherman,"Las Vegas, Nevada, USA",146.0,2:26,Heavyweight,2022-01-15,Red,Rear Naked Choke,SUB
Brandon Royval,Rogerio Bontorin,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2022-01-15,Red,,S-DEC
Katlyn Chookagian,Jennifer Maia,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2022-01-15,Red,,U-DEC
Dakota Bush,Viacheslav Borshchev,"Las Vegas, Nevada, USA",227.0,3:47,Lightweight,2022-01-15,Blue,Punch,KO/TKO
Bill Algeo,Joanderson Brito,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2022-01-15,Red,,U-DEC
Jamie Pickett,Joseph Holmes,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2022-01-15,Red,,U-DEC
Court McGee,Ramiz Brahimaj,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2022-01-15,Red,,U-DEC
Brian Kelleher,Kevin Croom,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2022-01-15,Red,,U-DEC
TJ Brown,Charles Rosa,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2022-01-15,Red,,U-DEC
Derrick Lewis,Chris Daukaus,"Las Vegas, Nevada, USA",216.0,3:36,Heavyweight,2021-12-18,Red,Punches,KO/TKO
Stephen Thompson,Belal Muhammad,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-12-18,Blue,,U-DEC
Amanda Lemos,Angela Hill,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2021-12-18,Red,,S-DEC
Raphael Assuncao,Ricky Simon,"Las Vegas, Nevada, USA",434.0,2:14,Bantamweight,2021-12-18,Blue,Punch,KO/TKO
Diego Ferreira,Mateusz Gamrot,"Las Vegas, Nevada, USA",506.0,3:26,Lightweight,2021-12-18,Blue,Knee,KO/TKO
Cub Swanson,Darren Elkins,"Las Vegas, Nevada, USA",132.0,2:12,Featherweight,2021-12-18,Red,Punches,KO/TKO
Dustin Stoltzfus,Gerald Meerschaert,"Las Vegas, Nevada, USA",778.0,2:58,Middleweight,2021-12-18,Blue,Rear Naked Choke,SUB
Justin Tafa,Harry Hunsucker,"Las Vegas, Nevada, USA",113.0,1:53,Heavyweight,2021-12-18,Red,Kick,KO/TKO
Sijara Eubanks,Melissa Gatto,"Las Vegas, Nevada, USA",645.0,0:45,Women's Flyweight,2021-12-18,Blue,Kick,KO/TKO
Charles Jourdain,Andre Ewell,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2021-12-18,Red,,U-DEC
Raquel Pennington,Macy Chiasson,"Las Vegas, Nevada, USA",487.0,3:07,Women's Featherweight,2021-12-18,Red,Guillotine Choke,SUB
Don'Tale Mayes,Josh Parisian,"Las Vegas, Nevada, USA",806.0,3:26,Heavyweight,2021-12-18,Red,Elbows,KO/TKO
Jordan Leavitt,Matt Sayles,"Las Vegas, Nevada, USA",425.0,2:05,Lightweight,2021-12-18,Red,Inverted Triangle,SUB
Charles Oliveira,Dustin Poirier,"Las Vegas, Nevada, USA",662.0,1:02,Lightweight,2021-12-11,Red,Rear Naked Choke,SUB
Amanda Nunes,Julianna Pena,"Las Vegas, Nevada, USA",506.0,3:26,Women's Bantamweight,2021-12-11,Blue,Rear Naked Choke,SUB
Geoff Neal,Santiago Ponzinibbio,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-12-11,Red,,S-DEC
Kai Kara-France,Cody Garbrandt,"Las Vegas, Nevada, USA",201.0,3:21,Flyweight,2021-12-11,Red,Punches,KO/TKO
Raulian Paiva,Sean O'Malley,"Las Vegas, Nevada, USA",282.0,4:42,Bantamweight,2021-12-11,Blue,Punches,KO/TKO
Josh Emmett,Dan Ige,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2021-12-11,Red,,U-DEC
Pedro Munhoz,Dominick Cruz,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-12-11,Blue,,U-DEC
Augusto Sakai,Tai Tuivasa,"Las Vegas, Nevada, USA",326.0,0:26,Heavyweight,2021-12-11,Blue,Punches,KO/TKO
Jordan Wright,Bruno Silva,"Las Vegas, Nevada, USA",88.0,1:28,Middleweight,2021-12-11,Blue,Punches,KO/TKO
Andre Muniz,Eryk Anders,"Las Vegas, Nevada, USA",193.0,3:13,Middleweight,2021-12-11,Red,Armbar,SUB
Miranda Maverick,Erin Blanchfield,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-12-11,Blue,,U-DEC
Ryan Hall,Darrick Minner,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2021-12-11,Red,,U-DEC
Randy Costa,Tony Kelley,"Las Vegas, Nevada, USA",555.0,4:15,Bantamweight,2021-12-11,Blue,Elbows,KO/TKO
Gillian Robertson,Priscila Cachoeira,"Las Vegas, Nevada, USA",299.0,4:59,Women's Flyweight,2021-12-11,Red,Rear Naked Choke,SUB
Rob Font,Jose Aldo,"Las Vegas, Nevada, USA",1500.0,5:00,Bantamweight,2021-12-04,Blue,,U-DEC
Brad Riddell,Rafael Fiziev,"Las Vegas, Nevada, USA",740.0,2:20,Lightweight,2021-12-04,Blue,Kick,KO/TKO
Jimmy Crute,Jamahal Hill,"Las Vegas, Nevada, USA",48.0,0:48,Light Heavyweight,2021-12-04,Blue,Punch,KO/TKO
Clay Guida,Leonardo Santos,"Las Vegas, Nevada, USA",381.0,1:21,Lightweight,2021-12-04,Red,Rear Naked Choke,SUB
Brendan Allen,Chris Curtis,"Las Vegas, Nevada, USA",418.0,1:58,Middleweight,2021-12-04,Blue,Knees,KO/TKO
Alex Morono,Mickey Gall,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-12-04,Red,,U-DEC
Maki Pitolo,Dusko Todorovic,"Las Vegas, Nevada, USA",274.0,4:34,Middleweight,2021-12-04,Blue,Punches,KO/TKO
Manel Kape,Zhalgas Zhumagulov,"Las Vegas, Nevada, USA",242.0,4:02,Flyweight,2021-12-04,Red,Punches,KO/TKO
Bryan Barberena,Darian Weeks,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-12-04,Red,,U-DEC
Cheyanne Vlismas,Mallory Martin,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2021-12-04,Red,,U-DEC
Alonzo Menifield,William Knight,"Las Vegas, Nevada, USA",900.0,5:00,Light Heavyweight,2021-12-04,Blue,,U-DEC
Claudio Puelles,Chris Gruetzemacher,"Las Vegas, Nevada, USA",805.0,3:25,Lightweight,2021-12-04,Red,Kneebar,SUB
Louis Smolka,Vince Morales,"Las Vegas, Nevada, USA",122.0,2:02,Bantamweight,2021-12-04,Blue,Punch,KO/TKO
Ketlen Vieira,Miesha Tate,"Las Vegas, Nevada, USA",1500.0,5:00,Women's Bantamweight,2021-11-20,Red,,U-DEC
Michael Chiesa,Sean Brady,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-11-20,Blue,,U-DEC
Joanne Wood,Taila Santos,"Las Vegas, Nevada, USA",289.0,4:49,Women's Flyweight,2021-11-20,Blue,Rear Naked Choke,SUB
Rani Yahya,Kyung Ho Kang,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-11-20,Red,,U-DEC
Davey Grant,Adrian Yanez,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-11-20,Blue,,S-DEC
Pat Sabatini,Tucker Lutz,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2021-11-20,Red,,U-DEC
Rafa Garcia,Natan Levy,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2021-11-20,Red,,U-DEC
Loma Lookboonmee,Loopy Godinez,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2021-11-20,Blue,,U-DEC
Cody Durden,Aoriqileng,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2021-11-20,Red,,U-DEC
Shayilan Nuerdanbieke,Sean Soriano,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2021-11-20,Red,,U-DEC
Luana Pinheiro,Sam Hughes,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2021-11-20,Red,,U-DEC
Max Holloway,Yair Rodriguez,"Las Vegas, Nevada, USA",1500.0,5:00,Featherweight,2021-11-13,Red,,U-DEC
Ben Rothwell,Marcos Rogerio de Lima,"Las Vegas, Nevada, USA",32.0,0:32,Heavyweight,2021-11-13,Blue,Punches,KO/TKO
Felicia Spencer,Leah Letson,"Las Vegas, Nevada, USA",865.0,4:25,Women's Featherweight,2021-11-13,Red,Elbows,KO/TKO
Miguel Baeza,Khaos Williams,"Las Vegas, Nevada, USA",662.0,1:02,Welterweight,2021-11-13,Blue,Punch,KO/TKO
Song Yadong,Julio Arce,"Las Vegas, Nevada, USA",395.0,1:35,Bantamweight,2021-11-13,Red,Punches,KO/TKO
Thiago Moises,Joel Alvarez,"Las Vegas, Nevada, USA",181.0,3:01,Lightweight,2021-11-13,Blue,Elbows,KO/TKO
Cynthia Calvillo,Andrea Lee,"Las Vegas, Nevada, USA",600.0,5:00,Women's Flyweight,2021-11-13,Blue,,KO/TKO
Sean Woodson,Collin Anglin,"Las Vegas, Nevada, USA",270.0,4:30,Featherweight,2021-11-13,Red,Punches,KO/TKO
Cortney Casey,Liana Jojua,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-11-13,Red,,U-DEC
Marc Diakiese,Rafael Alves,"Las Vegas, Nevada, USA",108.0,1:48,Lightweight,2021-11-13,Blue,Guillotine Choke,SUB
Kennedy Nzechukwu,Da Woon Jung,"Las Vegas, Nevada, USA",184.0,3:04,Light Heavyweight,2021-11-13,Blue,Elbows,KO/TKO
Kamaru Usman,Colby Covington,"New York City, New York, USA",1500.0,5:00,Welterweight,2021-11-06,Red,,U-DEC
Rose Namajunas,Zhang Weili,"New York City, New York, USA",1500.0,5:00,Women's Strawweight,2021-11-06,Red,,S-DEC
Frankie Edgar,Marlon Vera,"New York City, New York, USA",830.0,3:50,Bantamweight,2021-11-06,Blue,Kick,KO/TKO
Shane Burgos,Billy Quarantillo,"New York City, New York, USA",900.0,5:00,Featherweight,2021-11-06,Red,,U-DEC
Justin Gaethje,Michael Chandler,"New York City, New York, USA",900.0,5:00,Lightweight,2021-11-06,Red,,U-DEC
Alex Pereira,Andreas Michailidis,"New York City, New York, USA",318.0,0:18,Middleweight,2021-11-06,Red,Flying Knee,KO/TKO
Al Iaquinta,Bobby Green,"New York City, New York, USA",145.0,2:25,Lightweight,2021-11-06,Blue,Punches,KO/TKO
Phil Hawes,Chris Curtis,"New York City, New York, USA",267.0,4:27,Middleweight,2021-11-06,Blue,Punch,KO/TKO
Edmen Shahbazyan,Nassourdine Imavov,"New York City, New York, USA",592.0,4:52,Middleweight,2021-11-06,Blue,Elbows,KO/TKO
Ian Garry,Jordan Williams,"New York City, New York, USA",299.0,4:59,Welterweight,2021-11-06,Red,Punch,KO/TKO
Gian Villante,Chris Barnett,"New York City, New York, USA",443.0,2:23,Heavyweight,2021-11-06,Blue,Kick,KO/TKO
Dustin Jacoby,John Allan,"New York City, New York, USA",900.0,5:00,Light Heavyweight,2021-11-06,Red,,U-DEC
Melsik Baghdasaryan,Bruno Souza,"New York City, New York, USA",900.0,5:00,Featherweight,2021-11-06,Red,,U-DEC
CJ Vergara,Ode Osbourne,"New York City, New York, USA",900.0,5:00,Flyweight,2021-11-06,Blue,,U-DEC
Jan Blachowicz,Glover Teixeira,"Abu Dhabi, Abu Dhabi, United Arab Emirates",482.0,3:02,Light Heavyweight,2021-10-30,Blue,Rear Naked Choke,SUB
Petr Yan,Cory Sandhagen,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1500.0,5:00,Bantamweight,2021-10-30,Red,,U-DEC
Islam Makhachev,Dan Hooker,"Abu Dhabi, Abu Dhabi, United Arab Emirates",145.0,2:25,Lightweight,2021-10-30,Red,Kimura,SUB
Alexander Volkov,Marcin Tybura,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Heavyweight,2021-10-30,Red,,U-DEC
Li Jingliang,Khamzat Chimaev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",196.0,3:16,Welterweight,2021-10-30,Blue,Rear Naked Choke,SUB
Magomed Ankalaev,Volkan Oezdemir,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Light Heavyweight,2021-10-30,Red,,U-DEC
Amanda Ribas,Virna Jandiroba,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Women's Strawweight,2021-10-30,Red,,U-DEC
Ricardo Ramos,Zubaira Tukhugov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Featherweight,2021-10-30,Blue,,U-DEC
Albert Duraev,Roman Kopylov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Middleweight,2021-10-30,Red,,U-DEC
Elizeu Zaleski dos Santos,Benoit Saint Denis,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Welterweight,2021-10-30,Red,,U-DEC
Shamil Gamzatov,Michal Oleksiejczuk,"Abu Dhabi, Abu Dhabi, United Arab Emirates",211.0,3:31,Light Heavyweight,2021-10-30,Blue,Punch,KO/TKO
Makwan Amirkhani,Lerone Murphy,"Abu Dhabi, Abu Dhabi, United Arab Emirates",314.0,0:14,Featherweight,2021-10-30,Blue,Knee,KO/TKO
Hu Yaozong,Andre Petroski,"Abu Dhabi, Abu Dhabi, United Arab Emirates",886.0,4:46,Middleweight,2021-10-30,Blue,Arm Triangle,SUB
Tagir Ulanbekov,Allan Nascimento,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Flyweight,2021-10-30,Red,,S-DEC
Paulo Costa,Marvin Vettori,"Las Vegas, Nevada, USA",1500.0,5:00,Light Heavyweight,2021-10-23,Blue,,U-DEC
Jessica-Rose Clark,Joselyne Edwards,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2021-10-23,Red,,U-DEC
Alex Caceres,SeungWoo Choi,"Las Vegas, Nevada, USA",511.0,3:31,Featherweight,2021-10-23,Red,Rear Naked Choke,SUB
Francisco Trinaldo,Dwight Grant,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-10-23,Red,,S-DEC
Nicolae Negumereanu,Ike Villanueva,"Las Vegas, Nevada, USA",78.0,1:18,Light Heavyweight,2021-10-23,Red,Punches,KO/TKO
JunYong Park,Gregory Rodrigues,"Las Vegas, Nevada, USA",493.0,3:13,Middleweight,2021-10-23,Blue,Punch,KO/TKO
Mason Jones,David Onama,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2021-10-23,Red,,U-DEC
Tabatha Ricci,Maria Oliveira,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2021-10-23,Red,,U-DEC
Jamie Pickett,Laureano Staropoli,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2021-10-23,Red,,U-DEC
Khama Worthy,Jai Herbert,"Las Vegas, Nevada, USA",167.0,2:47,Lightweight,2021-10-23,Blue,Punches,KO/TKO
Jeff Molina,Daniel Lacerda,"Las Vegas, Nevada, USA",346.0,0:46,Flyweight,2021-10-23,Red,Punches,KO/TKO
Livinha Souza,Randa Markos,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2021-10-23,Blue,,U-DEC
Jonathan Martinez,Zviad Lazishvili,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-10-23,Red,,U-DEC
Aspen Ladd,Norma Dumont,"Las Vegas, Nevada, USA",1500.0,5:00,Women's Featherweight,2021-10-16,Blue,,U-DEC
Andrei Arlovski,Carlos Felipe,"Las Vegas, Nevada, USA",900.0,5:00,Heavyweight,2021-10-16,Red,,U-DEC
Jim Miller,Erick Gonzalez,"Las Vegas, Nevada, USA",314.0,0:14,Lightweight,2021-10-16,Red,Punch,KO/TKO
Manon Fiorot,Mayra Bueno Silva,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-10-16,Red,,U-DEC
Nate Landwehr,Ludovit Klein,"Las Vegas, Nevada, USA",742.0,2:22,Featherweight,2021-10-16,Red,Anaconda Choke,SUB
Andrew Sanchez,Bruno Silva,"Las Vegas, Nevada, USA",755.0,2:35,Middleweight,2021-10-16,Blue,Punches,KO/TKO
Danny Roberts,Ramazan Emeev,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-10-16,Red,,S-DEC
Loopy Godinez,Luana Carolina,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-10-16,Blue,,U-DEC
Batgerel Danaa,Brandon Davis,"Las Vegas, Nevada, USA",121.0,2:01,Bantamweight,2021-10-16,Red,Punches,KO/TKO
Istela Nunes,Ariane Carnelossi,"Las Vegas, Nevada, USA",777.0,2:57,Women's Strawweight,2021-10-16,Blue,Rear Naked Choke,SUB
Mackenzie Dern,Marina Rodriguez,"Las Vegas, Nevada, USA",1500.0,5:00,Women's Strawweight,2021-10-09,Blue,,U-DEC
Randy Brown,Jared Gooden,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-10-09,Red,,U-DEC
Tim Elliott,Matheus Nicolau,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2021-10-09,Blue,,U-DEC
Sabina Mazo,Mariya Agapova,"Las Vegas, Nevada, USA",653.0,0:53,Women's Flyweight,2021-10-09,Blue,Rear Naked Choke,SUB
Chris Gutierrez,Felipe Colares,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-10-09,Red,,S-DEC
Alexandr Romanov,Jared Vanderaa,"Las Vegas, Nevada, USA",583.0,4:43,Heavyweight,2021-10-09,Red,Punches,KO/TKO
Charles Rosa,Damon Jackson,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2021-10-09,Blue,,U-DEC
Loopy Godinez,Silvana Gomez Juarez,"Las Vegas, Nevada, USA",254.0,4:14,Women's Strawweight,2021-10-09,Red,Armbar,SUB
Steve Garcia,Charlie Ontiveros,"Las Vegas, Nevada, USA",411.0,1:51,Lightweight,2021-10-09,Red,Punches,KO/TKO
Thiago Santos,Johnny Walker,"Las Vegas, Nevada, USA",1500.0,5:00,Light Heavyweight,2021-10-02,Red,,U-DEC
Alex Oliveira,Niko Price,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-10-02,Blue,,U-DEC
Misha Cirkunov,Krzysztof Jotko,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2021-10-02,Blue,,S-DEC
Alexander Hernandez,Mike Breeden,"Las Vegas, Nevada, USA",80.0,1:20,Lightweight,2021-10-02,Red,Punch,KO/TKO
Joe Solecki,Jared Gordon,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2021-10-02,Blue,,S-DEC
Antonina Shevchenko,Casey O'Neill,"Las Vegas, Nevada, USA",587.0,4:47,Women's Flyweight,2021-10-02,Blue,Punches,KO/TKO
Bethe Correia,Karol Rosa,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2021-10-02,Blue,,U-DEC
Devonte Smith,Jamie Mullarkey,"Las Vegas, Nevada, USA",471.0,2:51,Lightweight,2021-10-02,Blue,Punches,KO/TKO
Douglas Silva de Andrade,Gaetano Pirrello,"Las Vegas, Nevada, USA",124.0,2:04,Bantamweight,2021-10-02,Red,Punch,KO/TKO
Stephanie Egger,Shanna Young,"Las Vegas, Nevada, USA",442.0,2:22,Women's Bantamweight,2021-10-02,Red,Elbow,KO/TKO
Alejandro Perez,Johnny Eduardo,"Las Vegas, Nevada, USA",553.0,4:13,Bantamweight,2021-10-02,Red,Armbar,SUB
Alexander Volkanovski,Brian Ortega,"Las Vegas, Nevada, USA",1500.0,5:00,Featherweight,2021-09-25,Red,,U-DEC
Valentina Shevchenko,Lauren Murphy,"Las Vegas, Nevada, USA",1140.0,4:00,Women's Flyweight,2021-09-25,Red,Punches,KO/TKO
Nick Diaz,Robbie Lawler,"Las Vegas, Nevada, USA",644.0,0:44,Middleweight,2021-09-25,Blue,Punch,KO/TKO
Curtis Blaydes,Jairzinho Rozenstruik,"Las Vegas, Nevada, USA",900.0,5:00,Heavyweight,2021-09-25,Red,,U-DEC
Jessica Andrade,Cynthia Calvillo,"Las Vegas, Nevada, USA",294.0,4:54,Women's Flyweight,2021-09-25,Red,Punches,KO/TKO
Marlon Moraes,Merab Dvalishvili,"Las Vegas, Nevada, USA",565.0,4:25,Bantamweight,2021-09-25,Blue,Punches,KO/TKO
Dan Hooker,Nasrat Haqparast,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2021-09-25,Red,,U-DEC
Shamil Abdurakhimov,Chris Daukaus,"Las Vegas, Nevada, USA",383.0,1:23,Heavyweight,2021-09-25,Blue,Punch,KO/TKO
Roxanne Modafferi,Taila Santos,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-09-25,Blue,,U-DEC
Uros Medic,Jalin Turner,"Las Vegas, Nevada, USA",241.0,4:01,Lightweight,2021-09-25,Blue,Rear Naked Choke,SUB
Cody Brundage,Nick Maximov,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2021-09-25,Blue,,U-DEC
Matthew Semelsberger,Martin Sano,"Las Vegas, Nevada, USA",15.0,0:15,Welterweight,2021-09-25,Red,Punch,KO/TKO
Jonathan Pearce,Omar Morales,"Las Vegas, Nevada, USA",511.0,3:31,Featherweight,2021-09-25,Red,Rear Naked Choke,SUB
Anthony Smith,Ryan Spann,"Las Vegas, Nevada, USA",227.0,3:47,Light Heavyweight,2021-09-18,Red,Rear Naked Choke,SUB
Ion Cutelaba,Devin Clark,"Las Vegas, Nevada, USA",900.0,5:00,Light Heavyweight,2021-09-18,Red,,U-DEC
Ariane Lipski,Mandy Bohm,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-09-18,Red,,U-DEC
Arman Tsarukyan,Christos Giagos,"Las Vegas, Nevada, USA",129.0,2:09,Lightweight,2021-09-18,Red,Punches,KO/TKO
Nate Maness,Tony Gravely,"Las Vegas, Nevada, USA",430.0,2:10,Bantamweight,2021-09-18,Red,Punches,KO/TKO
Joaquin Buckley,Antonio Arroyo,"Las Vegas, Nevada, USA",746.0,2:26,Middleweight,2021-09-18,Red,Punches,KO/TKO
Mike Rodriguez,Tafon Nchukwi,"Las Vegas, Nevada, USA",900.0,5:00,Light Heavyweight,2021-09-18,Blue,,U-DEC
Pannie Kianzad,Raquel Pennington,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2021-09-18,Blue,,U-DEC
Rong Zhu,Brandon Jenkins,"Las Vegas, Nevada, USA",875.0,4:35,Lightweight,2021-09-18,Red,Punches,KO/TKO
Montel Jackson,JP Buys,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-09-18,Red,,U-DEC
Erin Blanchfield,Sarah Alpar,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-09-18,Red,,U-DEC
Impa Kasanganay,Carlston Harris,"Las Vegas, Nevada, USA",158.0,2:38,Welterweight,2021-09-18,Blue,Punches,KO/TKO
Emily Whitmire,Hannah Goldy,"Las Vegas, Nevada, USA",257.0,4:17,Women's Flyweight,2021-09-18,Blue,Armbar,SUB
Derek Brunson,Darren Till,"Las Vegas, Nevada, USA",733.0,2:13,Middleweight,2021-09-04,Red,Rear Naked Choke,SUB
Tom Aspinall,Serghei Spivac,"Las Vegas, Nevada, USA",150.0,2:30,Heavyweight,2021-09-04,Red,Elbow,KO/TKO
Alex Morono,David Zawada,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2021-09-04,Red,,U-DEC
Modestas Bukauskas,Khalil Rountree Jr.,"Las Vegas, Nevada, USA",450.0,2:30,Light Heavyweight,2021-09-04,Blue,Kick,KO/TKO
Paddy Pimblett,Luigi Vendramini,"Las Vegas, Nevada, USA",265.0,4:25,Lightweight,2021-09-04,Red,Punches,KO/TKO
Molly McCann,Ji Yeon Kim,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2021-09-04,Red,,U-DEC
Jack Shore,Liudvik Sholinian,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2021-09-04,Red,,U-DEC
Julian Erosa,Charles Jourdain,"Las Vegas, Nevada, USA",776.0,2:56,Catch Weight,2021-09-04,Red,D'Arce Choke,SUB
