Year,Month,Day,Full-Date,Fighter,Color,Country,Winner,TitleBout,WeightClass,Gender,NumberRounds,Avg-SSL,Avg-SSP,Avg-SA,Avg-TDL,Avg-TDP,Stance,Height,Reach,Weight,Age,Finish,Details,F-Round,F-RoundTime,Fight-Secs,Wins-DM,Wins-DS,Wins-DU,Wins-KO,Wins-S,Wins-TKOS,Wins-T
2024,11,16,20241116,Jim Miller,Red,USA,1,FALSE,Lightweight,MALE,3,2.99,0.42,1.7,1.52,0.44,Southpaw,172.72,180.34,155,41,SUB,Guillotine Choke,1,164,164,0,2,6,6,12,0,26
2024,11,16,20241116,David Onama,Red,USA,1,FALSE,Lightweight,MALE,3,5.6,0.5,0.6,0.73,0.2,Orthodox,180.34,187.96,145,30,U-DEC,,3,300,900,0,0,1,2,1,0,4
2024,11,16,20241116,Marcin Tybura,Red,USA,1,FALSE,Heavyweight,MALE,3,3.57,0.49,0.1,1.42,0.33,Orthodox,190.5,198.12,249,39,KO/TKO,,2,300,600,1,0,6,4,1,0,12
2024,11,16,20241116,Mickey Gall,Red,USA,0,FALSE,Welterweight,MALE,3,3.5,0.49,1.6,1.15,0.32,Switch,187.96,187.96,170,32,KO/TKO,Punch,1,175,175,0,0,1,0,5,0,6
2024,11,16,20241116,Bassil Hafez,Red,USA,0,FALSE,Welterweight,MALE,3,3.71,0.38,0,2.21,0.24,Orthodox,180.34,182.88,170,32,KO/TKO,Punch,3,40,640,0,0,1,0,0,0,1
2024,11,16,20241116,Veronica Hardy,Red,USA,0,FALSE,Women's Flyweight,FEMALE,3,3.12,0.45,0.3,0.93,0.41,Southpaw,162.56,162.56,125,29,U-DEC,,3,300,900,0,1,2,0,1,0,4
2024,11,9,2024119,Neil Magny,Red,USA,0,FALSE,Welterweight,MALE,5,3.43,0.46,0.2,2.12,0.38,Orthodox,190.5,203.2,170,37,KO/TKO,Punch,1,290,290,0,4,10,6,2,0,22
2024,11,9,2024119,Gerald Meerschaert,Red,USA,0,FALSE,Middleweight,MALE,3,3.1,0.45,1.5,2.01,0.35,Southpaw,185.42,195.58,185,36,SUB,Arm Triangle,3,104,704,0,0,0,1,11,0,12
2024,11,9,2024119,Gaston Bolanos,Red,USA,1,FALSE,Bantamweight,MALE,3,3.74,0.5,0,0.78,1,Orthodox,170.18,175.26,135,32,U-DEC,,3,300,900,0,0,1,0,0,0,1
2024,11,9,2024119,Luana Pinheiro,Red,USA,0,FALSE,Women's Strawweight,FEMALE,3,3.42,0.4,0.2,1.8,0.33,Orthodox,157.48,157.48,115,31,U-DEC,,3,300,900,0,1,1,1,0,0,4
2024,11,9,2024119,Mansur Abdul-Malik,Red,USA,1,FALSE,Middleweight,MALE,3,6.61,0.54,0,0,0,Orthodox,187.96,200.66,185,27,KO/TKO,Punches,1,164,164,0,0,0,1,0,0,1
2024,11,9,2024119,Karolina Kowalkiewicz,Red,USA,0,FALSE,Women's Strawweight,FEMALE,3,5.54,0.43,0.2,0.31,0.22,Orthodox,160.02,162.56,115,39,U-DEC,,3,300,900,0,2,6,0,1,0,9
2024,11,9,2024119,Elizeu Zaleski dos Santos,Red,USA,1,FALSE,Welterweight,MALE,3,4.33,0.41,0.5,0.7,0.2,Orthodox,180.34,185.42,170,37,KO/TKO,Punches,1,75,75,0,2,4,3,1,0,10
2024,11,9,2024119,Matthew Semelsberger,Red,USA,0,FALSE,Welterweight,MALE,3,3.77,0.42,0.4,1.01,0.57,Switch,185.42,190.5,170,31,KO/TKO,Punches,1,51,51,0,0,3,2,0,0,5
2024,11,9,2024119,Cody Stamann,Red,USA,0,FALSE,Bantamweight,MALE,3,4.32,0.46,0,2.17,0.37,Orthodox,167.64,162.56,135,35,SUB,Rear Naked Choke,1,259,259,0,2,4,1,0,0,7
2024,11,9,2024119,Tresean Gore,Red,USA,1,FALSE,Middleweight,MALE,3,3,0.54,1.7,3.46,0.75,Switch,182.88,190.5,185,30,SUB,Guillotine Choke,1,83,83,0,0,0,0,1,0,1
2024,11,9,2024119,Melissa Mullins,Red,USA,1,FALSE,Women's Bantamweight,FEMALE,3,3.43,0.56,0,1.53,0.37,Orthodox,170.18,172.72,135,33,KO/TKO,Punches,2,80,380,0,0,1,0,0,0,1
2024,11,2,2024112,Brandon Moreno,Red,Canada,1,FALSE,Flyweight,MALE,5,3.99,0.43,0.4,1.59,0.46,Orthodox,170.18,177.8,125,30,U-DEC,,5,300,1500,0,1,2,3,3,0,9
2024,11,2,2024112,Erin Blanchfield,Red,Canada,1,FALSE,Women's Flyweight,FEMALE,3,5.24,0.44,0.8,1.86,0.31,Orthodox,162.56,167.64,125,25,U-DEC,,5,300,1500,0,0,3,0,3,0,6
2024,11,2,2024112,Caio Machado,Red,Canada,0,FALSE,Light Heavyweight,MALE,3,5.82,0.53,0,0,0,Southpaw,193.04,198.12,250,30,S-DEC,,3,300,900,0,0,1,0,0,0,1
2024,11,2,2024112,Ariane da Silva,Red,Canada,0,FALSE,Women's Flyweight,FEMALE,3,4.04,0.41,0.3,0.52,0.55,Orthodox,167.64,170.18,125,30,SUB,D'Arce Choke,3,148,748,0,1,3,0,2,0,6
2024,11,2,2024112,Marc-Andre Barriault,Red,Canada,0,FALSE,Middleweight,MALE,3,5.98,0.47,0.1,0.21,0.25,Orthodox,185.42,187.96,185,34,KO/TKO,Punch,1,268,268,0,0,2,2,1,0,5
2024,11,2,2024112,Mike Malott,Red,Canada,1,FALSE,Welterweight,MALE,3,3.85,0.46,0.8,2.27,0.56,Orthodox,185.42,185.42,170,32,U-DEC,,3,300,900,0,0,0,1,3,0,4
2024,11,2,2024112,Aiemann Zahabi,Red,Canada,1,FALSE,Bantamweight,MALE,3,4.06,0.46,0,0.16,0.14,Orthodox,172.72,172.72,135,36,U-DEC,,3,300,900,0,0,3,2,0,0,5
2024,11,2,2024112,Charles Jourdain,Red,Canada,1,FALSE,Bantamweight,MALE,3,5.43,0.48,0.6,0.34,0.21,Switch,175.26,175.26,135,28,SUB,Guillotine Choke,2,223,523,0,0,2,2,2,0,6
2024,11,2,2024112,Jack Shore,Red,Canada,0,FALSE,Featherweight,MALE,3,3.6,0.58,0.6,3.22,0.39,Orthodox,172.72,180.34,145,29,SUB,Arm Triangle,2,59,359,0,1,2,0,3,0,6
2024,11,2,2024112,Alexandr Romanov,Red,Canada,1,FALSE,Heavyweight,MALE,3,3.78,0.51,0.9,4.49,0.55,Southpaw,187.96,190.5,262,33,U-DEC,,3,300,900,0,1,1,1,3,0,6
2024,11,2,2024112,Serhiy Sidey,Red,Canada,1,FALSE,Bantamweight,MALE,3,4.87,0.39,1.4,0,0,Switch,180.34,182.88,135,28,S-DEC,,3,300,900,0,0,0,1,0,0,1
2024,11,2,2024112,Chad Anheliger,Red,Canada,0,FALSE,Bantamweight,MALE,3,3.11,0.46,0.5,0.68,0.3,Orthodox,167.64,162.56,135,37,U-DEC,,3,300,900,0,1,1,1,0,0,3
2024,11,2,2024112,Jamey-Lyn Horth,Red,Canada,1,FALSE,Women's Flyweight,FEMALE,3,3.29,0.56,0,1,0.37,Orthodox,170.18,167.64,125,34,S-DEC,,3,300,900,0,0,1,0,0,0,1
2024,10,26,20241026,Ilia Topuria,Red,United Arab Emirates,1,TRUE,Featherweight,MALE,5,4.69,0.47,1.1,2.02,0.61,Orthodox,170.18,175.26,145,27,KO/TKO,Punch,3,94,694,0,0,2,4,1,0,7
2024,10,26,20241026,Robert Whittaker,Red,United Arab Emirates,0,FALSE,Middleweight,MALE,3,4.54,0.43,0,0.8,0.38,Orthodox,182.88,185.42,185,33,SUB,Rear Naked Choke,1,214,214,0,1,10,6,0,0,17
2024,10,26,20241026,Magomed Ankalaev,Red,United Arab Emirates,1,FALSE,Light Heavyweight,MALE,3,3.64,0.52,0,0.92,0.31,Orthodox,190.5,190.5,205,32,U-DEC,,3,300,900,0,0,4,6,0,0,10
2024,10,26,20241026,Lerone Murphy,Red,United Arab Emirates,1,FALSE,Featherweight,MALE,3,4.8,0.54,0.6,1.78,0.54,Orthodox,175.26,185.42,145,33,U-DEC,,3,300,900,0,1,3,2,0,0,6
2024,10,26,20241026,Shara Magomedov,Red,United Arab Emirates,1,FALSE,Middleweight,MALE,3,6.82,0.65,0,0,0,Orthodox,187.96,185.42,185,30,KO/TKO,Spinning Back Fist,2,292,592,0,0,2,1,0,0,3
2024,10,26,20241026,Ibo Aslan,Red,United Arab Emirates,1,FALSE,Light Heavyweight,MALE,3,8.34,0.5,0,0,0,Orthodox,190.5,195.58,205,28,KO/TKO,Punches,1,51,51,0,0,0,2,0,0,2
2024,10,26,20241026,Geoff Neal,Red,United Arab Emirates,1,FALSE,Welterweight,MALE,3,5.05,0.51,0.1,0.56,0.5,Southpaw,180.34,190.5,170,34,KO/TKO,,1,90,90,0,1,1,5,1,0,8
